Player,Span,Mat,Inn,NO,Runs,HS,Avg,100,50,0,Player Profile
DL Vettori+//0AoA-(ICC/NZ),1997+AC0-2014,113,174,23,4531,140,30,6,23,20,http://stats.espncricinfo.com/ci/content/player/38710.html
Asad Shafiq+//0AoA-(PAK),2010+AC0-2019,73,122,6,4528,137,39.03,12,26,13,http://stats.espncricinfo.com/ci/content/player/316397.html
ER Dexter+//0AoA-(ENG),1958+AC0-1968,62,102,8,4502,205,47.89,9,27,6,http://stats.espncricinfo.com/ci/content/player/11886.html
ED Weekes+//0AoA-(WI),1948+AC0-1958,48,81,5,4455,207,58.61,15,19,6,http://stats.espncricinfo.com/ci/content/player/53241.html
FDM Karunaratne+//0AoA-(SL),2012+AC0-2019,64,124,4,4421,196,36.84,9,24,12,http://stats.espncricinfo.com/ci/content/player/227772.html
KJ Hughes+//0AoA-(AUS),1977+AC0-1984,70,124,6,4415,213,37.41,9,22,10,http://stats.espncricinfo.com/ci/content/player/5724.html
MW Gatting+//0AoA-(ENG),1978+AC0-1995,79,138,14,4409,207,35.55,10,21,16,http://stats.espncricinfo.com/ci/content/player/13340.html
DR Martyn+//0AoA-(AUS),1992+AC0-2006,67,109,14,4406,165,46.37,13,23,7,http://stats.espncricinfo.com/ci/content/player/6513.html
AI Kallicharran+//0AoA-(WI),1972+AC0-1981,66,109,10,4399,187,44.43,12,21,10,http://stats.espncricinfo.com/ci/content/player/52285.html
APE Knott+//0AoA-(ENG),1967+AC0-1981,95,149,15,4389,135,32.75,5,30,8,http://stats.espncricinfo.com/ci/content/player/15917.html
M Amarnath+//0AoA-(INDIA),1969+AC0-1988,69,113,10,4378,138,42.5,11,24,12,http://stats.espncricinfo.com/ci/content/player/26225.html
IA Healy+//0AoA-(AUS),1988+AC0-1999,119,182,23,4356,161+ACo-,27.39,4,22,18,http://stats.espncricinfo.com/ci/content/player/5628.html
RC Fredericks+//0AoA-(WI),1968+AC0-1977,59,109,7,4334,169,42.49,8,26,7,http://stats.espncricinfo.com/ci/content/player/51797.html
Tamim Iqbal+//0AoA-(BDESH),2008+AC0-2019,58,112,1,4327,206,38.98,9,27,8,http://stats.espncricinfo.com/ci/content/player/56194.html
MA Butcher+//0AoA-(ENG),1997+AC0-2004,71,131,7,4288,173+ACo-,34.58,8,23,10,http://stats.espncricinfo.com/ci/content/player/9327.html
